	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	{7364: 28}	9.0	{76802: 28}	9.0	{113255: 28}	9.0																										
1	{113255: 28}	0.0																														
2	{7364: 28}	8.0	{113255: 28}	8.0																												
3	{19075: 21}	4.0	{74864: 21}	4.0	{78678: 21}	4.0																										
4	{7364: 21}	11.0	{55826: 21}	11.0	{70996: 21}	11.0																										
5	{7364: 21}	8.0	{55826: 21}	8.0	{70996: 21}	8.0																										
6	{7364: 21}	12.0	{55826: 21}	12.0	{70996: 21}	12.0																										
7	{70996: 21}	0.0	{76802: 21}	0.0	{113255: 21}	0.0																										
8	{7364: 28}	3.0	{55826: 28}	3.0	{76802: 28}	3.0	{113255: 28}	3.0																								
9	{7364: 28}	3.0	{55826: 28}	3.0	{76802: 28}	3.0	{113255: 28}	3.0																								
10	{4460: 28}	3.0	{7364: 28}	3.0	{55826: 28}	3.0	{76802: 28}	3.0	{113255: 28}	3.0																						
11	{4460: 28}	3.0	{7364: 28}	3.0	{55826: 28}	3.0	{113255: 28}	3.0																								
12	{44275: 15}	3.0																														
13	{76802: 28}	2.0																														
14	{7364: 14}	3.0	{55826: 7}	3.0	{70996: 7}	3.0																										
15	{7364: 14}	1.0	{55826: 14}	1.0																												
16	{7364: 14}	3.0	{55826: 14}	3.0																												
17	{7364: 7}	3.0	{55826: 28}	3.0	{70996: 14}	3.0																										
18	{70996: 7}	0.0	{113255: 14}	0.0																												
19	{17696: 14}	6.0	{27584: 7}	6.0	{92793: 7}	6.0	{100581: 14}	6.0																								
20	{17696: 14}	57.0	{27584: 7}	57.0	{92793: 7}	57.0	{100581: 14}	57.0																								
21	{76802: 7}	1.0	{113255: 7}	1.0																												
22	{76802: 7}	1.0	{113255: 7}	1.0																												
23	{76802: 7}	1.0	{113255: 7}	1.0																												
24	{76802: 7}	1.0	{113255: 7}	1.0																												
25	{76802: 7}	1.0	{113255: 7}	1.0																												
26	{76802: 7}	2.0	{113255: 7}	2.0																												
27	{76802: 7}	1.0	{113255: 7}	1.0																												
28	{873: 7}	2.0	{5608: 7}	2.0	{113255: 7}	2.0																										
29	{873: 14}	2.0	{7364: 14}	2.0																												
30	{873: 14}	3.0	{4460: 14}	3.0	{7364: 14}	3.0																										
31	{7364: 7}	1.0																														
32	{55826: 7}	2.0	{70996: 7}	2.0																												
33	{55826: 7}	1.0	{70996: 7}	1.0																												
34	{55826: 7}	1.0	{70996: 7}	1.0																												
35	{873: 7}	2.0	{5608: 7}	2.0	{113255: 7}	2.0																										
36	{7364: 7}	5.0																														
37	{113255: 14}	1.0																														
38	{873: 14}	7.0	{4460: 14}	7.0	{7364: 14}	7.0																										
39	{873: 14}	3.0	{4460: 14}	3.0	{7364: 14}	3.0																										
40	{55826: 7}	3.0	{70996: 7}	3.0																												
41	{70996: 7}	2.0																														
42	{7364: 14}	5.0	{76802: 7}	5.0																												
43	{55826: 14}	5.0																														
44	{55826: 14}	2.0	{113255: 7}	2.0																												
45	{70996: 14}	2.0																														
46	{70996: 14}	3.0	{113255: 14}	3.0																												
47	{7364: 14}	2.0	{76802: 7}	2.0																												
48	{55826: 14}	0.0																														
49	{55826: 14}	0.0	{113255: 7}	0.0																												
50	{70996: 14}	2.0																														
51	{70996: 14}	3.0	{113255: 14}	3.0																												
52	{55826: 14}	2.0																														
53	{7364: 14}	4.0	{76802: 7}	4.0																												
54	{55826: 14}	0.0	{113255: 7}	0.0																												
55	{70996: 14}	1.0																														
56	{70996: 14}	0.0	{113255: 14}	0.0																												
57	{7364: 14}	3.0	{76802: 7}	3.0																												
58	{55826: 14}	2.0																														
59	{55826: 14}	4.0	{113255: 7}	4.0																												
60	{70996: 14}	3.0																														
61	{76802: 7}	1.0	{113255: 7}	1.0																												
62	{55826: 7}	7.0	{70996: 7}	7.0																												
63	{55826: 7}	1.0	{70996: 7}	1.0																												
64	{113255: 14}	2.0																														
65	{55826: 7}	1.0	{70996: 7}	1.0																												
66	{55826: 7}	1.0	{70996: 7}	1.0																												
67	{55826: 7}	1.0																														
68	{7364: 14}	6.0	{113255: 14}	6.0																												
69	{55826: 7}	2.0	{76802: 7}	2.0																												
70	{76802: 7}	5.0																														
71	{55826: 1}	3.0																														
72	{76802: 1}	3.0																														
73	{55826: 1}	1.0	{76802: 1}	1.0																												
74	{76802: 28}	3.0	{113255: 28}	3.0																												
75	{76802: 28}	3.0	{113255: 28}	3.0																												
76	{76802: 28}	3.0	{113255: 28}	3.0																												
77	{76802: 28}	3.0	{113255: 28}	3.0																												
78	{76802: 28}	3.0	{113255: 28}	3.0																												
79	{7364: 14}	7.0	{55826: 14}	7.0	{70996: 14}	7.0																										
80	{7364: 14}	7.0	{70996: 28}	7.0																												
81	{7364: 7}	3.0	{55826: 7}	3.0																												
82	{55826: 7}	2.0	{76802: 7}	2.0																												
83	{55826: 14}	5.0	{76802: 7}	5.0																												
84	{7364: 7}	3.0	{55826: 14}	3.0	{70996: 7}	3.0																										
85	{70996: 14}	2.0																														
86	{55826: 28}	5.0	{70996: 28}	5.0																												
87	{7364: 7}	1.0																														
88	{76802: 28}	3.0	{113255: 28}	3.0																												
89	{55826: 28}	0.0	{70996: 28}	0.0																												
90	{7364: 14}	0.0	{113255: 14}	0.0																												
91	{7364: 14}	2.0																														
92	{7364: 21}	2.0																														
93	{7364: 14}	3.0	{70996: 14}	3.0																												
94	{55826: 28}	4.0	{76802: 14}	4.0	{113255: 14}	4.0																										
95	{7364: 14}	6.0	{70996: 28}	6.0																												
96	{7364: 14}	14.0	{55826: 14}	14.0	{70996: 28}	14.0																										
97	{76802: 28}	3.0	{113255: 28}	3.0																												
98	{55826: 28}	4.0	{70996: 14}	4.0																												
99	{76802: 28}	3.0	{113255: 28}	3.0																												
100	{76802: 28}	4.0	{113255: 28}	4.0																												
101	{55826: 14}	2.0																														
102	{70996: 28}	3.0																														
103	{76802: 7}	1.0	{113255: 7}	1.0																												
104	{55826: 7}	6.0	{76802: 7}	6.0																												
105	{70996: 14}	2.0																														
106	{55826: 28}	8.0																														
107	{76802: 14}	2.0																														
108	{70996: 28}	3.0																														
109	{7364: 28}	3.0																														
110	{70996: 28}	5.0																														
111	{7364: 28}	4.0	{55826: 28}	4.0																												
112	{76802: 14}	2.0																														
113	{55826: 28}	3.0	{70996: 28}	3.0																												
114	{55826: 28}	3.0	{70996: 28}	3.0																												
115	{55826: 28}	3.0	{70996: 28}	3.0																												
116	{55826: 24}	2.0	{70996: 24}	2.0																												
117	{8113: 7}	1.0																														
118	{14663: 7}	1.0																														
119	{76802: 21}	4.0																														
120	{76802: 3}	3.0																														
121	{76802: 21}	3.0																														
122	{76802: 3}	3.0																														
123	{113255: 35}	3.0																														
124	{76802: 14}	3.0	{113255: 14}	3.0																												
125	{76802: 14}	2.0																														
126	{76802: 70}	3.0																														
127	{113255: 35}	2.0																														
128	{76802: 28}	0.0																														
129	{113255: 35}	0.0																														
130	{113255: 14}	1.0																														
131	{76802: 56}	4.0																														
132	{113255: 28}	3.0																														
133	{113255: 35}	2.0																														
134	{76802: 14}	2.0																														
135	{76802: 14}	2.0																														
136	{76802: 28}	3.0																														
137	{76802: 14}	2.0																														
138	{76802: 21}	2.0																														
139	{76802: 14}	2.0																														
140	{76802: 28}	3.0																														
141	{113255: 28}	3.0																														
142	{113255: 14}	1.0																														
143	{113255: 28}	3.0																														
144	{113255: 14}	1.0																														
145	{113255: 14}	1.0																														
146	{113255: 14}	1.0																														
147	{76802: 14}	2.0																														
148	{113255: 14}	1.0																														
149	{113255: 14}	1.0																														
150	{76802: 14}	3.0	{113255: 14}	3.0																												
151	{113255: 14}	1.0																														
152	{76802: 14}	2.0																														
153	{113255: 28}	3.0																														
154	{70996: 21}	0.0																														
155	{76802: 28}	0.0																														
156	{7364: 14}	0.0																														
157	{76802: 14}	7.0																														
158	{7364: 7}	1.0																														
159	{55826: 21}	6.0																														
160	{55826: 21}	2.0																														
161	{76802: 28}	3.0																														
162	{113255: 14}	1.0																														
163	{76802: 28}	4.0																														
164	{7364: 28}	3.0																														
165	{113255: 28}	3.0																														
166	{70996: 21}	2.0																														
167	{113255: 28}	3.0																														
168	{7364: 14}	3.0	{70996: 14}	3.0																												
169	{7364: 14}	3.0	{55826: 14}	3.0																												
170	{76802: 28}	4.0																														
171	{76802: 14}	2.0																														
172	{76802: 28}	3.0																														
173	{113255: 14}	1.0																														
174	{76802: 14}	0.0																														
175	{76802: 14}	2.0																														
176	{76802: 14}	2.0																														
177	{113255: 14}	1.0																														
178	{7364: 14}	3.0	{70996: 21}	3.0																												
179	{7364: 14}	3.0	{70996: 14}	3.0																												
180	{70996: 14}	2.0																														
181	{55826: 28}	3.0																														
182	{70996: 21}	2.0																														
183	{7364: 7}	1.0																														
184	{7364: 14}	2.0																														
185	{76802: 14}	2.0																														
186	{113255: 28}	3.0																														
187	{76802: 14}	2.0																														
188	{113255: 28}	3.0																														
189	{7364: 14}	2.0																														
190	{70996: 21}	2.0																														
191	{7364: 14}	3.0	{70996: 14}	3.0																												
192	{7364: 14}	2.0																														
193	{70996: 14}	10.0																														
194	{70996: 14}	9.0																														
195	{55826: 28}	6.0																														
196	{55826: 28}	6.0																														
197	{55826: 14}	6.0																														
198	{70996: 7}	1.0																														
199	{55826: 21}	3.0																														
200	{7364: 14}	3.0	{55826: 14}	3.0																												
201	{76802: 14}	2.0																														
202	{113255: 14}	2.0																														
203	{55826: 14}	9.0	{70996: 21}	9.0																												
204	{55826: 28}	3.0																														
205	{55826: 14}	2.0																														
206	{70996: 7}	1.0																														
207	{70996: 14}	2.0																														
208	{70996: 14}	20.0																														
209	{55826: 28}	0.0	{70996: 14}	0.0																												
210	{7364: 14}	2.0																														
211	{55826: 14}	0.0																														
212	{55826: 14}	2.0																														
213	{7364: 14}	0.0	{55826: 28}	0.0																												
214	{55826: 28}	3.0																														
215	{7364: 21}	2.0	{55826: 21}	2.0	{70996: 21}	2.0																										
216	{7364: 21}	7.0	{55826: 21}	7.0	{70996: 21}	7.0																										
217	{7364: 21}	11.0	{55826: 21}	11.0	{70996: 21}	11.0																										
218	{55826: 28}	0.0																														
219	{7364: 21}	3.0	{55826: 21}	3.0	{70996: 21}	3.0																										
220	{113255: 7}	1.0																														
221	{113255: 7}	1.0																														
222	{113255: 7}	1.0																														
223	{113255: 7}	1.0																														
224	{7364: 28}	5.0	{76802: 28}	5.0	{113255: 28}	5.0																										
225	{55826: 28}	5.0	{113255: 28}	5.0																												
226	{55826: 28}	4.0	{76802: 28}	4.0	{113255: 28}	4.0																										
227	{113255: 28}	9.0																														
228	{7364: 28}	4.0	{55826: 28}	4.0	{70996: 28}	4.0																										
229	{7364: 28}	2.0																														
230	{7364: 28}	3.0	{113255: 28}	3.0																												
231	{55826: 28}	3.0	{70996: 28}	3.0	{76802: 28}	3.0																										
232	{70996: 28}	2.0																														
233	{7364: 28}	9.0	{55826: 56}	9.0	{70996: 56}	9.0																										
234	{70996: 28}	9.0																														
235	{76802: 28}	2.0																														
236	{7364: 28}	2.0																														
237	{76802: 42}	0.0																														
238	{113255: 28}	0.0																														
239	{7364: 7}	3.0	{55826: 21}	3.0																												
240	{70996: 21}	2.0																														
241	{7364: 7}	2.0	{70996: 14}	2.0																												
242	{76802: 49}	0.0																														
243	{7364: 28}	8.0																														
244	{76802: 7}	2.0	{113255: 7}	2.0																												
245	{113255: 42}	0.0																														
246	{70996: 28}	1.0																														
247	{7364: 14}	1.0																														
248	{55826: 28}	2.0																														
249	{55826: 28}	2.0																														
250	{7364: 28}	1.0																														
251	{55826: 14}	1.0																														
252	{55826: 35}	2.0																														
253	{113255: 28}	2.0																														
254	{7364: 28}	1.0																														
255	{76802: 28}	3.0																														
256	{113255: 14}	2.0																														
257	{76802: 14}	1.0																														
258	{76802: 14}	1.0																														
259	{76802: 14}	1.0																														
260	{76802: 14}	8.0																														
261	{70996: 28}	13.0	{76802: 28}	13.0	{113255: 28}	13.0																										
262	{7364: 28}	4.0	{55826: 28}	4.0	{70996: 28}	4.0																										
263	{55826: 21}	2.0																														
264	{7364: 14}	3.0	{55826: 14}	3.0																												
265	{113255: 14}	1.0																														
266	{113255: 14}	3.0																														
267	{113255: 14}	9.0																														
268	{113255: 28}	3.0																														
269	{113255: 28}	3.0																														
270	{70996: 28}	0.0																														
271	{7364: 28}	0.0	{76802: 28}	0.0	{113255: 28}	0.0																										
272	{19075: 21}	7.0	{74864: 21}	7.0	{78678: 21}	7.0																										
273	{7364: 10}	0.0																														
274	{19075: 21}	4.0	{74864: 21}	4.0	{78678: 21}	4.0																										
275	{7364: 10}	1.0																														
276	{55826: 15}	3.0																														
277	{19075: 21}	4.0	{74864: 21}	4.0	{78678: 21}	4.0																										
278	{7364: 20}	2.0																														
279	{70996: 10}	2.0																														
280	{7364: 10}	2.0	{55826: 10}	2.0																												
281	{55826: 28}	3.0	{113255: 28}	3.0																												
282	{7364: 28}	6.0	{76802: 28}	6.0	{113255: 28}	6.0																										
283	{55826: 15}	3.0																														
284	{7364: 20}	3.0	{55826: 20}	3.0																												
285	{7364: 10}	2.0	{55826: 10}	2.0	{70996: 5}	2.0																										
286	{55826: 20}	2.0																														
287	{113255: 28}	3.0																														
288	{76802: 28}	3.0																														
289	{113255: 14}	1.0																														
290	{70996: 15}	0.0																														
291	{76802: 21}	0.0																														
292	{76802: 14}	1.0																														
293	{7364: 21}	2.0																														
294	{7364: 14}	3.0	{55826: 7}	3.0	{70996: 7}	3.0																										
295	{7364: 14}	2.0	{55826: 14}	2.0																												
296	{70996: 12}	1.0																														
297	{55826: 24}	2.0																														
298	{55826: 36}	0.0																														
299	{55826: 24}	2.0																														
300	{7364: 12}	3.0	{70996: 6}	3.0																												
301	{70996: 18}	2.0																														
302	{76802: 28}	3.0																														
303	{7364: 12}	3.0	{70996: 12}	3.0																												
304	{7364: 12}	3.0	{70996: 12}	3.0																												
305	{76802: 7}	1.0	{113255: 7}	1.0																												
306	{76802: 7}	1.0	{113255: 7}	1.0																												
307	{76802: 7}	1.0	{113255: 7}	1.0																												
308	{76802: 7}	1.0	{113255: 7}	1.0																												
309	{76802: 7}	1.0	{113255: 7}	1.0																												
310	{76802: 7}	2.0	{113255: 7}	2.0																												
311	{76802: 7}	2.0	{113255: 7}	2.0																												
312	{76802: 7}	0.0	{113255: 7}	0.0																												
313	{76802: 7}	2.0	{113255: 7}	2.0																												
314	{76802: 7}	1.0	{113255: 7}	1.0																												
315	{55826: 7}	2.0	{70996: 7}	2.0																												
316	{55826: 7}	2.0	{70996: 7}	2.0																												
317	{55826: 7}	4.0	{70996: 7}	4.0																												
318	{55826: 7}	2.0	{70996: 7}	2.0																												
319	{55826: 7}	2.0	{70996: 7}	2.0																												
320	{55826: 7}	2.0	{70996: 7}	2.0																												
321	{55826: 7}	2.0	{70996: 7}	2.0																												
322	{55826: 7}	0.0	{70996: 7}	0.0																												
323	{55826: 7}	2.0	{70996: 7}	2.0																												
324	{55826: 7}	2.0	{70996: 7}	2.0																												
325	{19075: 21}	8.0	{74864: 21}	8.0	{78678: 21}	8.0																										
326	{55826: 7}	2.0	{70996: 7}	2.0																												
327	{55826: 7}	0.0	{70996: 7}	0.0																												
328	{76802: 7}	2.0	{113255: 7}	2.0																												
329	{76802: 7}	3.0	{113255: 7}	3.0																												
330	{55826: 7}	0.0	{70996: 7}	0.0																												
331	{76802: 7}	1.0	{113255: 7}	1.0																												
332	{76802: 7}	5.0	{113255: 7}	5.0																												
333	{55826: 7}	0.0	{70996: 7}	0.0																												
334	{55826: 7}	1.0	{70996: 7}	1.0																												
335	{55826: 7}	2.0	{70996: 7}	2.0																												
336	{55826: 7}	2.0	{70996: 7}	2.0																												
337	{55826: 7}	26.0	{70996: 7}	26.0																												
338	{55826: 7}	0.0	{70996: 7}	0.0																												
339	{55826: 7}	2.0	{70996: 7}	2.0																												
340	{76802: 28}	0.0																														
341	{76802: 28}	3.0	{113255: 28}	3.0																												
342	{76802: 28}	7.0	{113255: 28}	7.0																												
343	{76802: 28}	3.0	{113255: 28}	3.0																												
344	{70996: 7}	0.0	{113255: 14}	0.0																												
345	{55826: 28}	3.0	{70996: 28}	3.0																												
346	{7364: 28}	0.0																														
347	{76802: 7}	3.0	{113255: 7}	3.0																												
348	{76802: 7}	2.0	{113255: 7}	2.0																												
349	{76802: 7}	2.0	{113255: 7}	2.0																												
350	{76802: 7}	1.0	{113255: 7}	1.0																												
351	{76802: 7}	2.0	{113255: 7}	2.0																												
352	{76802: 7}	2.0	{113255: 7}	2.0																												
353	{76802: 7}	1.0	{113255: 7}	1.0																												
354	{76802: 7}	2.0	{113255: 7}	2.0																												
355	{76802: 7}	2.0	{113255: 7}	2.0																												
356	{76802: 7}	1.0	{113255: 7}	1.0																												
357	{55826: 7}	2.0	{70996: 7}	2.0																												
358	{55826: 7}	2.0	{70996: 7}	2.0																												
359	{55826: 7}	2.0	{70996: 7}	2.0																												
360	{55826: 7}	2.0	{70996: 7}	2.0																												
361	{55826: 7}	1.0	{70996: 7}	1.0																												
362	{55826: 7}	2.0	{70996: 7}	2.0																												
363	{55826: 7}	2.0	{70996: 7}	2.0																												
364	{55826: 7}	2.0	{70996: 7}	2.0																												
365	{55826: 7}	2.0	{70996: 7}	2.0																												
366	{76802: 7}	1.0	{113255: 7}	1.0																												
367	{55826: 7}	1.0	{70996: 7}	1.0																												
368	{32934: 7}	2.0	{55826: 7}	2.0	{70996: 7}	2.0																										
369	{70996: 15}	3.0																														
370	{7364: 28}	0.0	{55826: 28}	0.0	{70996: 28}	0.0																										
371	{76802: 5}	2.0	{113255: 5}	2.0																												
372	{76802: 5}	4.0	{113255: 5}	4.0																												
373	{76802: 5}	2.0	{113255: 5}	2.0																												
374	{76802: 5}	2.0	{113255: 5}	2.0																												
375	{76802: 5}	1.0	{113255: 5}	1.0																												
376	{76802: 5}	2.0	{113255: 5}	2.0																												
377	{76802: 5}	1.0	{113255: 5}	1.0																												
378	{76802: 5}	1.0	{113255: 5}	1.0																												
379	{76802: 5}	1.0	{113255: 5}	1.0																												
380	{76802: 5}	1.0	{113255: 5}	1.0																												
381	{55826: 5}	1.0	{70996: 5}	1.0																												
382	{55826: 5}	1.0	{70996: 5}	1.0																												
383	{55826: 5}	1.0	{70996: 5}	1.0																												
384	{55826: 5}	1.0	{70996: 5}	1.0																												
385	{55826: 5}	1.0	{70996: 5}	1.0																												
386	{55826: 5}	1.0	{70996: 5}	1.0																												
387	{55826: 5}	1.0	{70996: 5}	1.0																												
388	{55826: 5}	1.0	{70996: 5}	1.0																												
389	{55826: 5}	1.0	{70996: 5}	1.0																												
390	{55826: 5}	1.0	{70996: 5}	1.0																												
391	{70996: 15}	3.0																														
392	{10716: 5}	1.0	{32934: 5}	1.0	{50093: 5}	1.0	{55826: 5}	1.0	{70996: 5}	1.0	{106244: 5}	1.0																				
393	{55826: 7}	1.0																														
394	{76802: 21}	2.0																														
395	{7364: 14}	2.0																														
396	{113255: 14}	2.0																														
397	{55826: 14}	2.0																														
398	{76802: 21}	2.0																														
399	{55826: 14}	1.0																														
400	{7364: 7}	1.0																														
401	{7364: 7}	1.0																														
402	{76802: 7}	1.0																														
403	{7364: 28}	3.0																														
404	{113255: 28}	1.0																														
405	{55826: 21}	2.0																														
406	{70996: 28}	2.0																														
407	{7364: 7}	3.0	{55826: 21}	3.0	{76802: 14}	3.0																										
408	{55826: 24}	2.0																														
409	{70996: 15}	3.0																														
410	{70996: 15}	3.0																														
411	{11162: 7}	2.0	{74858: 7}	2.0																												
412	{70996: 14}	3.0																														
413	{70996: 2}	1.0																														
414	{74858: 14}	5.0																														
415	{18289: 7}	2.0	{44275: 7}	2.0																												
416	{44275: 7}	1.0																														
417	{70996: 12}	1.0																														
418	{7364: 12}	1.0																														
419	{70996: 18}	2.0																														
420	{55826: 18}	2.0	{70996: 6}	2.0																												
421	{7364: 14}	1.0																														
422	{7364: 14}	3.0	{55826: 21}	3.0																												
423	{7364: 28}	2.0																														
424	{7364: 14}	2.0																														
425	{7364: 12}	2.0	{70996: 12}	2.0																												
426	{55826: 10}	2.0	{70996: 5}	2.0																												
427	{55826: 20}	2.0	{70996: 10}	2.0																												
428	{76802: 7}	1.0	{113255: 7}	1.0																												
429	{76802: 7}	3.0	{113255: 7}	3.0																												
430	{76802: 7}	2.0	{113255: 7}	2.0																												
431	{76802: 7}	2.0	{113255: 7}	2.0																												
432	{76802: 7}	2.0	{113255: 7}	2.0																												
433	{76802: 7}	3.0	{113255: 7}	3.0																												
434	{76802: 7}	2.0	{113255: 7}	2.0																												
435	{76802: 7}	3.0	{113255: 7}	3.0																												
436	{76802: 7}	2.0	{113255: 7}	2.0																												
437	{76802: 7}	1.0	{113255: 7}	1.0																												
438	{76802: 7}	2.0	{113255: 7}	2.0																												
439	{55826: 7}	2.0	{70996: 7}	2.0																												
440	{55826: 7}	14.0	{70996: 7}	14.0																												
441	{55826: 7}	2.0	{70996: 7}	2.0																												
442	{55826: 7}	2.0	{70996: 7}	2.0																												
443	{55826: 7}	2.0	{70996: 7}	2.0																												
444	{55826: 7}	2.0	{70996: 7}	2.0																												
445	{55826: 7}	3.0	{70996: 7}	3.0																												
446	{55826: 7}	2.0	{70996: 7}	2.0																												
447	{55826: 7}	3.0	{70996: 7}	3.0																												
448	{55826: 7}	3.0	{70996: 7}	3.0																												
449	{10716: 14}	4.0	{18289: 28}	4.0	{32934: 28}	4.0	{44275: 7}	4.0	{46684: 14}	4.0	{55826: 14}	4.0	{70996: 7}	4.0	{106244: 28}	4.0	{113255: 7}	4.0														
450	{873: 14}	6.0	{4460: 14}	6.0	{7364: 21}	6.0	{8172: 21}	6.0	{11162: 7}	6.0	{50093: 7}	6.0	{52624: 14}	6.0	{55915: 14}	6.0	{74858: 7}	6.0	{76802: 21}	6.0	{113255: 14}	6.0	{116936: 28}	6.0								
451																																
452																																
453	{55826: 18}	2.0																														
454	{7364: 5}	2.0	{55826: 15}	2.0																												
455	{70996: 15}	2.0																														
456	{55826: 7}	1.0	{70996: 7}	1.0																												
457	{7364: 6}	2.0	{70996: 18}	2.0																												
458	{7364: 12}	0.0	{55826: 12}	0.0																												
459	{55826: 7}	3.0	{70996: 7}	3.0																												
460	{76802: 7}	0.0	{113255: 7}	0.0																												
461	{76802: 7}	2.0	{113255: 7}	2.0																												
462	{76802: 7}	2.0	{113255: 7}	2.0																												
463	{76802: 7}	0.0	{113255: 7}	0.0																												
464	{76802: 7}	2.0	{113255: 7}	2.0																												
465	{76802: 7}	0.0	{113255: 7}	0.0																												
466	{76802: 7}	3.0	{113255: 7}	3.0																												
467	{55826: 7}	3.0	{70996: 7}	3.0																												
468	{19075: 21}	6.0	{74864: 21}	6.0	{78678: 21}	6.0																										
469	{14663: 7}	3.0																														
470	{8113: 7}	3.0																														
471	{76802: 7}	6.0																														
472	{7364: 21}	3.0	{55826: 21}	3.0	{70996: 21}	3.0																										
473	{70996: 14}	2.0																														
474	{7364: 21}	3.0	{55826: 21}	3.0	{70996: 21}	3.0																										
475	{873: 14}	0.0	{5608: 14}	0.0																												
476	{7558: 7}	0.0																														
477	{873: 14}	3.0	{74858: 7}	3.0																												
478	{4460: 14}	0.0																														
479	{70997: 21}	12.0																														
480	{70997: 28}	3.0																														
481	{76802: 28}	3.0	{113255: 28}	3.0																												
482	{76802: 28}	3.0	{113255: 28}	3.0																												
483	{76802: 28}	3.0	{113255: 28}	3.0																												
484	{7364: 28}	5.0	{55826: 28}	5.0	{70996: 28}	5.0																										
485	{76802: 28}	3.0	{113255: 28}	3.0																												
486	{76802: 28}	3.0	{113255: 28}	3.0																												
487	{76802: 28}	3.0	{113255: 28}	3.0																												
488	{76802: 7}	2.0	{113255: 7}	2.0																												
489	{55826: 7}	3.0	{70996: 7}	3.0																												
490	{76802: 7}	1.0	{113255: 7}	1.0																												
491	{55826: 7}	2.0	{70996: 7}	2.0																												
492	{55826: 28}	3.0	{70996: 28}	3.0																												
493	{76802: 7}	2.0	{113255: 7}	2.0																												
494	{7364: 14}	6.0																														
495	{873: 7}	2.0	{7558: 7}	2.0																												
496	{7364: 14}	2.0																														
497	{4460: 7}	1.0	{7364: 7}	1.0																												
498	{873: 14}	2.0	{4460: 14}	2.0																												
499	{4460: 14}	2.0	{70997: 7}	2.0																												
500	{873: 14}	3.0	{7558: 7}	3.0																												
501	{873: 4}	1.0																														
502	{7558: 28}	2.0																														
503	{7364: 7}	8.0																														
504	{873: 7}	2.0	{7364: 7}	2.0	{7558: 7}	2.0																										
505	{7558: 14}	2.0																														
506	{873: 14}	2.0	{70997: 14}	2.0																												
507	{4460: 14}	2.0	{7364: 7}	2.0	{70997: 7}	2.0																										
508	{7558: 7}	1.0																														
509	{873: 7}	3.0	{70997: 7}	3.0																												
510	{4460: 14}	1.0																														
511	{7558: 14}	13.0	{70997: 14}	13.0																												
512	{55826: 21}	2.0																														
513	{7364: 21}	12.0	{55826: 28}	12.0	{70996: 21}	12.0																										
514	{7364: 7}	21.0	{55826: 28}	21.0	{70996: 14}	21.0																										
515	{7364: 14}	3.0	{55826: 28}	3.0	{70996: 14}	3.0																										
